TICKS,CPU%
1695099560.79,700.00
1695099562.29,700.00
1695099563.80,700.00
1695099565.30,700.00
1695099566.80,700.00
1695099568.30,700.00
1695099569.81,700.00
1695099571.31,700.00
1695099572.81,700.00
1695099574.32,700.00
1695099575.82,700.00
1695099577.32,700.00
1695099578.82,700.00
1695099580.33,700.00
1695099581.83,700.00
1695099583.33,700.00
1695099584.83,700.00
1695099586.34,700.00
1695099587.84,700.00
1695099589.34,700.00
1695099590.84,700.00
1695099592.35,700.00
1695099593.85,700.00
1695099595.35,700.00
1695099596.85,700.00
1695099598.36,700.00
1695099599.86,700.00
1695099601.36,700.00
1695099602.86,700.00
1695099604.37,700.00
1695099605.87,700.00
1695099607.37,700.00
1695099608.87,700.00
1695099610.37,700.00
1695099611.88,700.00
1695099613.38,700.00
1695099614.88,700.00
1695099616.39,700.00
1695099617.89,700.00
1695099619.39,700.00
1695099620.89,700.00
1695099622.40,700.00
1695099623.90,700.00
1695099625.40,700.00
1695099626.90,700.00
1695099628.41,700.00
1695099629.91,700.00
1695099631.41,700.00
1695099632.91,700.00
1695099634.42,700.00
1695099635.92,700.00
1695099637.42,700.00
1695099638.92,700.00
1695099640.43,700.00
1695099641.93,700.00
1695099643.43,700.00
1695099644.93,700.00
1695099646.44,700.00
1695099647.94,700.00
1695099649.44,700.00
1695099650.94,700.00
1695099652.45,700.00
1695099653.95,700.00
1695099655.45,700.00
1695099656.95,700.00
1695099658.45,700.00
1695099659.96,700.00
1695099661.46,700.00
1695099662.96,700.00
1695099664.46,700.00
1695099665.96,700.00
1695099667.47,700.00
1695099668.97,700.00
1695099670.47,700.00
1695099671.97,700.00
1695099673.48,700.00
1695099674.98,700.00
1695099676.48,700.00
1695099677.98,700.00
1695099679.49,700.00
1695099680.99,700.00
1695099682.49,700.00
1695099683.99,700.00
1695099685.50,700.00
1695099687.00,700.00
1695099688.50,700.00
1695099690.00,700.00
1695099691.51,700.00
1695099693.01,700.00
1695099694.51,700.00
1695099696.01,700.00
1695099697.52,700.00
1695099699.02,700.00
1695099700.52,700.00
1695099702.02,700.00
1695099703.53,700.00
1695099705.03,700.00
1695099706.53,700.00
1695099708.03,700.00
1695099709.54,700.00
1695099711.04,700.00
1695099712.55,700.00
1695099714.05,700.00
1695099715.55,700.00
1695099717.06,700.00
1695099718.56,700.00
1695099720.06,700.00
1695099721.57,700.00
1695099723.07,700.00
1695099724.57,700.00
1695099726.07,700.00
1695099727.58,700.00
1695099729.08,700.00
1695099730.58,700.00
1695099732.08,700.00
1695099733.59,700.00
1695099735.09,700.00
1695099736.59,700.00
1695099738.09,700.00
1695099739.60,700.00
1695099741.10,700.00
1695099742.60,700.00
1695099744.11,700.00
1695099745.61,700.00
1695099747.11,700.00
1695099748.61,700.00
1695099750.11,700.00
1695099751.62,700.00
1695099753.12,700.00
1695099754.62,700.00
1695099756.12,700.00
1695099757.63,700.00
1695099759.13,700.00
1695099760.63,700.00
1695099762.14,700.00
1695099763.64,700.00
1695099765.14,700.00
1695099766.64,700.00
1695099768.14,700.00
1695099769.65,700.00
1695099771.15,700.00
1695099772.65,700.00
1695099774.15,700.00
1695099775.66,700.00
1695099777.16,700.00
1695099778.66,700.00
1695099780.16,700.00
1695099781.67,700.00
1695099783.17,700.00
1695099784.67,700.00
1695099786.17,700.00
1695099787.68,700.00
1695099789.18,700.00
1695099790.68,700.00
1695099792.18,700.00
1695099793.69,700.00
1695099795.19,700.00
1695099796.69,700.00
1695099798.19,700.00
1695099799.70,700.00
1695099801.20,700.00
1695099802.70,700.00
1695099804.20,700.00
1695099805.71,700.00
1695099807.21,700.00
1695099808.71,700.00
1695099810.21,700.00
1695099811.72,700.00
1695099813.22,700.00
1695099814.72,700.00
1695099816.23,700.00
1695099817.73,700.00
1695099819.23,700.00
1695099820.73,700.00
1695099822.24,700.00
1695099823.74,700.00
1695099825.24,700.00
1695099826.74,700.00
1695099828.25,700.00
1695099829.75,700.00
1695099831.25,700.00
1695099832.75,700.00
1695099834.26,700.00
1695099835.76,700.00
1695099837.26,700.00
1695099838.76,700.00
1695099840.26,700.00
1695099841.77,700.00
1695099843.27,700.00
1695099844.77,700.00
1695099846.28,700.00
1695099847.78,700.00
1695099849.28,700.00
1695099850.79,700.00
1695099852.29,700.00
1695099853.79,700.00
1695099855.29,700.00
1695099856.80,700.00
1695099858.30,700.00
1695099859.80,700.00
1695099861.30,700.00
1695099862.81,700.00
1695099864.31,700.00
1695099865.81,700.00
1695099867.31,700.00
1695099868.82,700.00
1695099870.32,700.00
1695099871.82,700.00
1695099873.32,700.00
1695099874.83,700.00
1695099876.33,700.00
1695099877.83,700.00
1695099879.33,700.00
1695099880.84,700.00
1695099882.34,700.00
1695099883.84,700.00
1695099885.34,700.00
1695099886.84,700.00
1695099888.35,700.00
1695099889.85,700.00
1695099891.35,700.00
1695099892.85,700.00
1695099894.36,700.00
1695099895.86,700.00
1695099897.36,700.00
1695099898.86,700.00
1695099900.37,700.00
1695099901.87,700.00
1695099903.37,700.00
1695099904.87,700.00
1695099906.38,700.00
1695099907.88,700.00
1695099909.38,700.00
1695099910.88,700.00
1695099912.39,700.00
1695099913.89,700.00
1695099915.39,700.00
1695099916.89,700.00
1695099918.40,700.00
1695099919.90,700.00
1695099921.40,700.00
1695099922.90,700.00
1695099924.41,700.00
1695099925.91,700.00
1695099927.41,700.00
1695099928.91,700.00
1695099930.42,700.00
1695099931.92,700.00
1695099933.42,700.00
1695099934.92,700.00
1695099936.43,700.00
1695099937.93,700.00
1695099939.43,700.00
1695099940.93,700.00
1695099942.44,700.00
1695099943.94,700.00
1695099945.44,700.00
1695099946.94,700.00
1695099948.45,700.00
1695099949.95,700.00
1695099951.45,700.00
1695099952.95,700.00
1695099954.46,700.00
1695099955.96,700.00
1695099957.46,700.00
1695099958.96,700.00
1695099960.47,700.00
1695099961.97,700.00
1695099963.47,700.00
1695099964.97,700.00
1695099966.48,700.00
1695099967.98,700.00
1695099969.48,700.00
1695099970.98,700.00
1695099972.49,700.00
1695099973.99,700.00
1695099975.49,700.00
1695099976.99,700.00
1695099978.49,700.00
1695099980.00,700.00
1695099981.50,700.00
1695099983.00,700.00
1695099984.50,700.00
1695099986.01,700.00
1695099987.51,700.00
1695099989.01,700.00
1695099990.51,700.00
1695099992.02,700.00
1695099993.52,700.00
1695099995.02,700.00
1695099996.52,700.00
1695099998.03,700.00
1695099999.53,700.00
1695100001.03,700.00
1695100002.53,700.00
1695100004.04,700.00
1695100005.54,700.00
1695100007.04,700.00
1695100008.54,700.00
1695100010.05,700.00
1695100011.55,700.00
1695100013.05,700.00
1695100014.55,700.00
1695100016.06,700.00
1695100017.56,700.00
1695100019.06,700.00
1695100020.56,700.00
1695100022.07,700.00
1695100023.57,700.00
1695100025.07,700.00
1695100026.58,700.00
1695100028.08,700.00
1695100029.58,700.00
1695100031.08,700.00
1695100032.59,700.00
1695100034.09,700.00
1695100035.59,700.00
1695100037.10,700.00
1695100038.60,700.00
1695100040.10,700.00
1695100041.60,700.00
