TICKS,CPU%
1697885533.22,2.00
1697885534.72,0.00
1697885536.23,0.00
1697885537.73,0.00
1697885539.23,2.00
1697885540.73,0.00
1697885542.24,0.00
1697885543.74,0.00
1697885545.24,0.00
1697885546.75,5.80
1697885548.25,0.00
1697885549.75,2.00
1697885551.25,2.00
1697885552.76,0.00
1697885554.26,2.00
1697885555.76,0.00
1697885557.27,0.00
1697885558.77,0.00
1697885560.27,0.00
1697885561.77,2.00
1697885563.28,2.00
1697885564.78,2.00
1697885566.28,0.00
1697885567.79,0.00
1697885569.29,0.00
1697885570.79,2.00
1697885572.29,2.00
1697885573.80,0.00
1697885575.30,0.00
1697885576.80,0.00
1697885578.30,2.00
1697885579.81,0.00
1697885581.31,0.00
1697885582.81,6.00
1697885584.31,0.00
1697885585.82,2.00
1697885587.32,0.00
1697885588.82,2.00
1697885590.32,2.00
1697885591.83,0.00
1697885593.33,0.00
1697885594.83,2.00
1697885596.34,0.00
1697885597.84,0.00
1697885599.34,0.00
1697885600.84,2.00
1697885602.35,0.00
1697885603.85,2.00
1697885605.35,0.00
1697885606.85,2.00
1697885608.36,0.00
1697885609.86,2.00
1697885611.36,0.00
1697885612.86,0.00
1697885614.36,1.90
1697885615.87,0.00
1697885617.37,0.00
1697885618.87,2.00
1697885620.38,2.00
1697885621.88,2.00
1697885623.38,0.00
1697885624.89,4.00
1697885626.39,2.00
1697885627.89,0.00
1697885629.39,0.00
1697885630.89,2.00
1697885632.40,5.80
1697885633.90,0.00
1697885635.40,2.00
1697885636.91,2.00
1697885638.41,2.00
1697885639.91,2.00
1697885641.41,4.00
1697885642.92,0.00
1697885644.42,2.00
1697885645.92,0.00
1697885647.42,0.00
1697885648.93,0.00
1697885650.43,0.00
1697885651.93,0.00
1697885653.44,0.00
1697885654.94,2.00
1697885656.44,2.00
1697885657.94,0.00
1697885659.45,0.00
1697885660.95,0.00
1697885662.45,3.90
1697885663.95,0.00
1697885665.46,0.00
1697885666.96,0.00
1697885668.46,4.00
1697885669.96,0.00
1697885671.47,4.00
1697885672.97,2.00
1697885674.47,0.00
1697885675.97,0.00
1697885677.48,0.00
1697885678.98,0.00
1697885680.48,0.00
1697885681.99,0.00
1697885683.49,0.00
1697885684.99,2.00
1697885686.49,0.00
1697885688.00,2.00
1697885689.50,0.00
1697885691.00,2.00
1697885692.51,2.00
1697885694.01,2.00
1697885695.51,4.00
1697885697.01,2.00
1697885698.52,0.00
1697885700.02,0.00
1697885701.52,2.00
1697885703.02,0.00
1697885704.53,2.00
1697885706.03,2.00
1697885707.53,2.00
1697885709.04,0.00
1697885710.54,2.00
1697885712.04,2.00
1697885713.54,4.00
1697885715.05,2.00
1697885716.55,0.00
1697885718.05,2.00
1697885719.55,2.00
1697885721.06,10.00
1697885722.56,2.00
1697885724.06,2.00
1697885725.56,2.00
1697885727.07,0.00
1697885728.57,0.00
1697885730.07,2.00
1697885731.57,4.00
1697885733.08,0.00
1697885734.58,0.00
1697885736.08,0.00
1697885737.58,4.00
1697885739.09,0.00
1697885740.59,0.00
1697885742.09,0.00
1697885743.59,0.00
1697885745.10,0.00
1697885746.60,4.00
1697885748.10,0.00
1697885749.60,2.00
1697885751.11,0.00
1697885752.61,0.00
1697885754.11,4.00
1697885755.62,2.00
1697885757.12,0.00
1697885758.62,2.00
1697885760.12,2.00
1697885761.63,0.00
1697885763.13,4.00
1697885764.63,4.00
1697885766.14,0.00
1697885767.64,0.00
1697885769.14,0.00
1697885770.64,2.00
1697885772.14,0.00
1697885773.65,0.00
1697885775.15,0.00
1697885776.65,4.00
1697885778.16,0.00
1697885779.66,0.00
1697885781.16,0.00
1697885782.66,0.00
1697885784.17,0.00
1697885785.67,0.00
1697885787.17,0.00
1697885788.67,0.00
1697885790.18,0.00
1697885791.68,2.00
1697885793.18,0.00
1697885794.68,0.00
1697885796.19,0.00
1697885797.69,0.00
1697885799.19,0.00
1697885800.69,4.00
1697885802.20,0.00
1697885803.70,0.00
1697885805.20,0.00
1697885806.71,0.00
1697885808.21,2.00
1697885809.71,0.00
1697885811.21,2.00
1697885812.72,0.00
1697885814.22,2.00
1697885815.72,0.00
1697885817.22,0.00
1697885818.73,2.00
1697885820.23,0.00
1697885821.73,0.00
1697885823.23,0.00
1697885824.74,2.00
1697885826.24,4.00
1697885827.74,2.00
1697885829.24,0.00
1697885830.75,4.00
1697885832.25,4.00
1697885833.75,2.00
1697885835.25,0.00
1697885836.76,3.90
1697885838.26,2.00
1697885839.76,4.00
1697885841.26,2.00
1697885842.77,0.00
1697885844.27,4.00
1697885845.77,2.00
1697885847.28,2.00
1697885848.78,0.00
1697885850.28,2.00
1697885851.78,2.00
1697885853.28,0.00
1697885854.79,0.00
1697885856.29,2.00
1697885857.79,4.00
1697885859.30,4.00
1697885860.80,0.00
1697885862.30,0.00
1697885863.80,0.00
1697885865.31,2.00
1697885866.81,0.00
1697885868.31,0.00
1697885869.81,0.00
1697885871.32,0.00
1697885872.82,4.00
1697885874.32,2.00
1697885875.82,0.00
1697885877.33,2.00
1697885878.83,0.00
1697885880.33,2.00
1697885881.83,2.00
1697885883.34,2.00
1697885884.84,0.00
1697885886.34,0.00
1697885887.85,0.00
1697885889.35,2.00
1697885890.85,2.00
1697885892.35,0.00
1697885893.86,2.00
1697885895.36,0.00
1697885896.86,0.00
1697885898.36,0.00
1697885899.87,2.00
1697885901.37,4.00
1697885902.87,0.00
1697885904.37,0.00
1697885905.88,2.00
1697885907.38,0.00
1697885908.88,0.00
1697885910.38,0.00
1697885911.89,0.00
1697885913.39,2.00
1697885914.89,0.00
1697885916.39,4.00
1697885917.90,0.00
1697885919.40,2.00
1697885920.90,0.00
1697885922.40,0.00
1697885923.91,0.00
1697885925.41,2.00
1697885926.91,0.00
1697885928.41,2.00
1697885929.92,0.00
1697885931.42,4.00
1697885932.92,0.00
1697885934.42,2.00
1697885935.93,0.00
1697885937.43,2.00
1697885938.93,0.00
1697885940.44,11.90
1697885941.94,0.00
1697885943.44,2.00
1697885944.94,0.00
1697885946.45,2.00
1697885947.95,0.00
1697885949.45,2.00
1697885950.95,26.00
1697885952.46,0.00
1697885953.96,0.00
1697885955.46,0.00
1697885956.96,0.00
1697885958.47,2.00
1697885959.97,0.00
1697885961.47,2.00
1697885962.97,0.00
1697885964.48,0.00
1697885965.98,0.00
1697885967.48,0.00
1697885968.99,0.00
1697885970.49,2.00
1697885971.99,0.00
1697885973.50,2.00
1697885975.00,0.00
1697885976.50,0.00
1697885978.00,0.00
1697885979.51,2.00
1697885981.01,0.00
1697885982.51,0.00
1697885984.02,0.00
1697885985.52,0.00
1697885987.02,2.00
1697885988.52,0.00
1697885990.03,2.00
1697885991.53,0.00
1697885993.03,0.00
1697885994.53,0.00
1697885996.04,2.00
1697885997.54,4.00
1697885999.04,0.00
1697886000.54,6.00
1697886002.04,0.00
1697886003.55,0.00
1697886005.05,2.00
1697886006.55,2.00
1697886008.06,0.00
1697886009.56,2.00
1697886011.06,0.00
1697886012.56,0.00
1697886014.07,4.00
1697886015.57,0.00
1697886017.07,0.00
1697886018.57,4.00
1697886020.08,2.00
1697886021.58,0.00
1697886023.08,2.00
1697886024.59,2.00
1697886026.09,4.00
1697886027.59,4.00
1697886029.09,4.00
1697886030.59,2.00
1697886032.10,4.00
1697886033.60,0.00
1697886035.10,2.00
1697886036.60,0.00
1697886038.11,0.00
1697886039.61,0.00
1697886041.11,0.00
1697886042.61,2.00
1697886044.12,0.00
