TICKS,Net_recv,Net_sent
1697884860.91,174.57,3.99
1697884861.92,174.57,3.99
1697884862.92,174.57,3.99
1697884863.92,174.57,3.99
1697884864.92,174.57,3.99
1697884865.92,174.57,3.99
1697884866.93,174.57,3.99
1697884867.93,174.57,3.99
1697884868.93,174.57,3.99
1697884869.93,174.58,3.99
1697884870.93,174.58,3.99
1697884871.93,174.58,3.99
1697884872.93,174.58,3.99
1697884873.94,174.58,3.99
1697884874.94,174.58,3.99
1697884875.94,174.58,3.99
1697884876.94,174.58,3.99
1697884877.94,174.58,3.99
1697884878.94,174.58,3.99
1697884879.94,174.58,3.99
1697884880.95,174.58,3.99
1697884881.95,174.58,3.99
1697884882.95,174.58,3.99
1697884883.95,174.58,3.99
1697884884.95,174.58,3.99
1697884885.95,174.58,3.99
1697884886.96,174.58,3.99
1697884887.96,174.58,3.99
1697884888.96,174.58,3.99
1697884889.96,174.58,3.99
1697884890.96,174.58,3.99
1697884891.96,174.58,3.99
1697884892.96,174.58,3.99
1697884893.97,174.58,3.99
1697884894.97,174.58,3.99
1697884895.97,174.58,3.99
1697884896.97,174.58,3.99
1697884897.97,174.58,3.99
1697884898.97,174.58,3.99
1697884899.98,174.59,3.99
1697884900.98,174.59,3.99
1697884901.98,174.59,3.99
1697884902.98,174.59,3.99
1697884903.98,174.59,3.99
1697884904.98,174.59,3.99
1697884905.98,174.59,3.99
1697884906.99,174.59,3.99
1697884907.99,174.59,3.99
1697884908.99,174.59,3.99
1697884909.99,174.59,3.99
1697884910.99,174.59,3.99
1697884911.99,174.59,3.99
1697884913.00,174.59,3.99
1697884914.00,174.59,3.99
1697884915.00,174.59,3.99
1697884916.00,174.59,3.99
1697884917.00,174.59,3.99
1697884918.00,174.59,3.99
1697884919.01,174.59,3.99
1697884920.01,174.59,3.99
1697884921.01,174.59,3.99
1697884922.01,174.59,3.99
1697884923.01,174.59,3.99
1697884924.01,174.59,3.99
1697884925.01,174.59,3.99
1697884926.02,174.59,3.99
1697884927.02,174.59,3.99
1697884928.02,174.59,3.99
1697884929.02,174.59,3.99
1697884930.02,174.59,3.99
1697884931.03,174.59,3.99
1697884932.03,174.59,3.99
1697884933.03,174.59,3.99
1697884934.03,174.59,3.99
1697884935.03,174.59,3.99
1697884936.03,174.59,3.99
1697884937.03,174.59,3.99
1697884938.04,174.59,3.99
1697884939.04,174.59,3.99
1697884940.04,174.59,3.99
1697884941.04,174.59,3.99
1697884942.04,174.59,3.99
1697884943.04,174.59,3.99
1697884944.04,174.59,3.99
1697884945.05,174.59,3.99
1697884946.05,174.60,3.99
1697884947.05,174.60,3.99
1697884948.05,174.60,3.99
1697884949.05,174.60,3.99
1697884950.05,174.60,3.99
1697884951.05,174.60,3.99
1697884952.06,174.60,3.99
1697884953.06,174.60,3.99
1697884954.06,174.60,3.99
1697884955.06,174.60,3.99
1697884956.06,174.60,3.99
1697884957.06,174.60,3.99
1697884958.06,174.60,3.99
1697884959.07,174.60,3.99
1697884960.07,174.60,3.99
1697884961.07,174.60,3.99
1697884962.07,174.60,3.99
1697884963.07,174.60,3.99
1697884964.07,174.60,3.99
1697884965.07,174.60,3.99
1697884966.08,174.60,3.99
1697884967.08,174.60,3.99
1697884968.08,174.60,3.99
1697884969.08,174.60,3.99
1697884970.08,174.60,3.99
1697884971.08,174.60,3.99
1697884972.08,174.60,3.99
1697884973.09,174.60,3.99
1697884974.09,174.60,3.99
1697884975.09,174.60,3.99
1697884976.09,174.60,3.99
1697884977.09,174.60,3.99
1697884978.09,174.60,3.99
1697884979.09,174.60,3.99
1697884980.10,174.60,3.99
1697884981.10,174.60,3.99
1697884982.10,174.60,3.99
1697884983.10,174.60,3.99
1697884984.10,174.60,3.99
1697884985.10,174.60,3.99
1697884986.11,174.60,3.99
1697884987.11,174.60,3.99
1697884988.11,174.60,3.99
1697884989.11,174.60,3.99
1697884990.11,174.60,3.99
1697884991.12,174.60,3.99
1697884992.12,174.60,3.99
1697884993.12,174.60,3.99
1697884994.12,174.60,3.99
1697884995.12,174.61,3.99
1697884996.12,174.61,3.99
1697884997.12,174.61,3.99
1697884998.13,174.61,3.99
1697884999.13,174.61,3.99
1697885000.13,174.61,3.99
1697885001.13,174.61,3.99
1697885002.13,174.61,3.99
1697885003.13,174.61,3.99
1697885004.14,174.61,3.99
1697885005.14,174.61,3.99
1697885006.14,174.61,3.99
1697885007.14,174.61,3.99
1697885008.14,174.61,3.99
1697885009.14,174.61,3.99
1697885010.15,174.61,3.99
1697885011.15,174.61,3.99
1697885012.15,174.61,3.99
1697885013.15,174.61,3.99
1697885014.15,174.61,3.99
1697885015.15,174.61,3.99
1697885016.16,174.61,3.99
1697885017.16,174.61,3.99
1697885018.16,174.61,3.99
1697885019.16,174.61,3.99
1697885020.16,174.61,3.99
1697885021.17,174.61,3.99
1697885022.17,174.61,3.99
1697885023.17,174.61,3.99
1697885024.17,174.61,3.99
1697885025.17,174.61,3.99
1697885026.17,174.61,3.99
1697885027.17,174.61,3.99
1697885028.18,174.61,3.99
1697885029.18,174.61,3.99
1697885030.18,174.61,3.99
1697885031.18,174.61,3.99
1697885032.18,174.61,3.99
1697885033.18,174.61,3.99
1697885034.18,174.61,3.99
1697885035.19,174.61,3.99
1697885036.19,174.61,3.99
1697885037.19,174.61,3.99
1697885038.19,174.61,3.99
1697885039.19,174.61,3.99
1697885040.19,174.61,3.99
1697885041.20,174.61,3.99
1697885042.20,174.61,3.99
1697885043.20,174.61,3.99
1697885044.20,174.61,3.99
1697885045.20,174.61,3.99
1697885046.20,174.61,3.99
1697885047.21,174.61,3.99
1697885048.21,174.61,3.99
1697885049.21,174.62,3.99
1697885050.21,174.62,3.99
1697885051.21,174.62,3.99
1697885052.21,174.62,3.99
1697885053.22,174.62,3.99
1697885054.22,174.62,3.99
1697885055.22,174.62,3.99
1697885056.22,174.62,3.99
1697885057.22,174.62,3.99
1697885058.22,174.62,3.99
