TICKS,Memoryper%
1697885229.49,34.40
1697885230.49,34.40
1697885231.49,34.30
1697885232.49,34.30
1697885233.49,34.30
1697885234.50,34.30
1697885235.50,34.30
1697885236.50,34.30
1697885237.50,34.30
1697885238.50,34.30
1697885239.50,34.30
1697885240.51,34.30
1697885241.51,34.30
1697885242.51,34.30
1697885243.51,34.30
1697885244.51,34.30
1697885245.51,34.30
1697885246.51,34.30
1697885247.52,34.30
1697885248.52,34.20
1697885249.52,34.20
1697885250.52,34.20
1697885251.52,34.20
1697885252.52,34.20
1697885253.53,34.20
1697885254.53,34.20
1697885255.53,34.20
1697885256.53,34.20
1697885257.53,34.20
1697885258.53,34.20
1697885259.54,34.20
1697885260.54,34.20
1697885261.54,34.20
1697885262.54,34.20
1697885263.54,34.20
1697885264.54,34.20
1697885265.55,34.20
1697885266.55,34.30
1697885267.55,34.30
1697885268.55,34.30
1697885269.55,34.30
1697885270.55,34.30
1697885271.55,34.30
1697885272.56,34.30
1697885273.56,34.30
1697885274.56,34.30
1697885275.56,34.30
1697885276.56,34.30
1697885277.56,34.30
1697885278.56,34.30
1697885279.57,34.30
1697885280.57,34.30
1697885281.57,34.30
1697885282.57,34.30
1697885283.57,34.30
1697885284.57,34.30
1697885285.58,34.30
1697885286.58,34.30
1697885287.58,34.30
1697885288.58,34.30
1697885289.58,34.30
1697885290.58,34.30
1697885291.59,34.30
1697885292.59,34.30
1697885293.59,34.30
1697885294.59,34.30
1697885295.59,34.30
1697885296.59,34.30
1697885297.59,34.30
1697885298.60,34.30
1697885299.60,34.30
1697885300.60,34.30
1697885301.60,34.30
1697885302.60,34.30
1697885303.60,34.30
1697885304.61,34.30
1697885305.61,34.30
1697885306.61,34.30
1697885307.61,34.30
1697885308.61,34.30
1697885309.61,34.30
1697885310.61,34.30
1697885311.62,34.30
1697885312.62,34.30
1697885313.62,34.30
1697885314.62,34.30
1697885315.62,34.40
1697885316.62,34.40
1697885317.63,34.40
1697885318.63,34.40
1697885319.63,34.40
1697885320.63,34.40
1697885321.63,34.40
1697885322.63,34.40
1697885323.63,34.40
1697885324.64,34.40
1697885325.64,34.40
1697885326.64,34.40
1697885327.64,34.40
1697885328.64,34.40
1697885329.65,34.40
1697885330.65,34.40
1697885331.65,34.40
1697885332.65,34.40
1697885333.65,34.40
1697885334.65,34.40
1697885335.65,34.40
1697885336.66,34.40
1697885337.66,34.30
1697885338.66,34.30
1697885339.66,34.30
1697885340.66,34.30
1697885341.66,34.30
1697885342.66,34.30
1697885343.67,34.30
1697885344.67,34.30
1697885345.67,34.30
1697885346.67,34.30
1697885347.67,34.30
1697885348.67,34.30
1697885349.67,34.30
1697885350.68,34.30
1697885351.68,34.30
1697885352.68,34.30
1697885353.68,34.30
1697885354.68,34.30
1697885355.68,34.30
1697885356.68,34.30
1697885357.69,34.30
1697885358.69,34.30
1697885359.69,34.30
1697885360.69,34.30
1697885361.69,34.30
1697885362.69,34.30
1697885363.70,34.30
1697885364.70,34.30
1697885365.70,34.30
1697885366.70,34.30
1697885367.70,34.30
1697885368.70,34.30
1697885369.71,34.30
1697885370.71,34.30
1697885371.71,34.30
1697885372.71,34.30
1697885373.71,34.30
1697885374.71,34.30
1697885375.72,34.30
1697885376.72,34.30
1697885377.72,34.30
1697885378.72,34.30
1697885379.72,34.30
1697885380.72,34.30
1697885381.73,34.30
1697885382.73,34.30
1697885383.73,34.30
1697885384.73,34.30
1697885385.73,34.30
1697885386.73,34.30
1697885387.74,34.30
1697885388.74,34.30
1697885389.74,34.30
1697885390.74,34.30
1697885391.74,34.30
1697885392.74,34.30
1697885393.74,34.30
1697885394.75,34.30
1697885395.75,34.30
1697885396.75,34.30
1697885397.75,34.30
1697885398.75,34.30
1697885399.75,34.30
1697885400.76,34.30
1697885401.76,34.30
1697885402.76,34.30
1697885403.76,34.30
1697885404.76,34.40
1697885405.76,34.40
1697885406.77,34.40
1697885407.77,34.40
1697885408.77,34.40
1697885409.77,34.40
1697885410.77,34.40
1697885411.77,34.40
1697885412.78,34.40
1697885413.78,34.40
1697885414.78,34.40
1697885415.78,34.40
1697885416.78,34.40
1697885417.78,34.40
1697885418.79,34.40
1697885419.79,34.40
1697885420.79,34.40
1697885421.79,34.40
1697885422.79,34.40
1697885423.79,34.40
1697885424.79,34.40
1697885425.80,34.40
1697885426.80,34.40
1697885427.80,34.40
1697885428.80,34.40
1697885429.80,34.40
1697885430.80,34.40
1697885431.81,34.40
1697885432.81,34.40
1697885433.81,34.40
1697885434.81,34.30
1697885435.81,34.30
1697885436.81,34.30
1697885437.81,34.30
1697885438.82,34.30
1697885439.82,34.30
1697885440.82,34.30
1697885441.82,34.30
1697885442.82,34.30
1697885443.82,34.30
1697885444.83,34.30
1697885445.83,34.30
1697885446.83,34.30
1697885447.83,34.30
1697885448.83,34.30
1697885449.83,34.30
1697885450.83,34.30
1697885451.84,34.30
1697885452.84,34.30
1697885453.84,34.30
1697885454.84,34.30
1697885455.84,34.30
1697885456.84,34.30
1697885457.85,34.30
1697885458.85,34.30
1697885459.85,34.30
1697885460.85,34.30
1697885461.85,34.30
1697885462.85,34.30
1697885463.86,34.30
1697885464.86,34.30
1697885465.86,34.30
1697885466.86,34.30
1697885467.86,34.30
1697885468.86,34.30
1697885469.86,34.30
1697885470.86,34.30
1697885471.86,34.30
1697885472.87,34.30
1697885473.87,34.30
1697885474.87,34.30
1697885475.87,34.30
1697885476.87,34.30
1697885477.87,34.30
1697885478.87,34.30
1697885479.88,34.30
1697885480.88,34.30
1697885481.88,34.30
1697885482.88,34.30
1697885483.88,34.30
1697885484.88,34.30
1697885485.89,34.30
1697885486.89,34.30
1697885487.89,34.30
1697885488.89,34.30
1697885489.89,34.30
1697885490.89,34.30
1697885491.90,34.40
1697885492.90,34.40
1697885493.90,34.40
1697885494.90,34.40
1697885495.90,34.40
1697885496.90,34.40
1697885497.91,34.40
1697885498.91,34.40
1697885499.91,34.40
1697885500.91,34.40
