TICKS,CPU%,Memper%,Net_recv,Net_sent
1696905412.19,4.00,32.50,352.59,14.60
1696905413.69,100.00,33.00,352.59,14.60
1696905415.20,94.10,33.50,352.59,14.60
1696905416.70,2.00,32.30,352.59,14.60
1696905418.20,23.40,32.30,352.59,14.60
1696905419.70,0.00,32.30,352.59,14.60
1696905421.21,7.90,32.40,352.59,14.60
1696905422.71,0.00,32.40,352.59,14.60
1696905424.21,13.80,32.20,352.59,14.60
1696905425.71,0.00,32.30,352.59,14.60
1696905427.22,6.00,32.40,352.59,14.60
1696905428.72,0.00,32.20,352.59,14.60
1696905430.22,20.80,32.30,352.59,14.60
1696905431.72,0.00,32.40,352.59,14.60
1696905433.23,10.20,32.50,352.59,14.60
1696905434.73,0.00,32.20,352.59,14.60
1696905436.23,7.90,32.30,352.59,14.60
1696905437.73,0.00,32.30,352.59,14.60
1696905439.24,10.10,32.50,352.59,14.60
1696905440.74,0.00,32.30,352.59,14.60
1696905442.24,24.40,32.40,352.59,14.60
1696905443.75,2.00,32.40,352.59,14.60
1696905445.25,4.00,32.30,352.59,14.60
1696905446.75,3.80,32.30,352.59,14.60
1696905448.25,17.60,32.40,352.59,14.60
1696905449.76,0.00,32.20,352.59,14.60
1696905451.26,7.90,32.20,352.59,14.60
1696905452.76,0.00,32.30,352.59,14.60
1696905454.26,28.50,32.40,352.59,14.60
1696905455.77,0.00,32.40,352.59,14.60
1696905457.27,4.00,32.40,352.59,14.60
1696905458.77,0.00,32.20,352.59,14.60
1696905460.27,5.90,32.30,352.59,14.60
1696905461.78,0.00,32.30,352.59,14.60
1696905463.28,12.10,32.40,352.59,14.60
1696905464.78,0.00,32.40,352.59,14.60
1696905466.28,20.80,32.40,352.59,14.60
1696905467.79,0.00,32.40,352.59,14.60
1696905469.29,8.20,32.20,352.59,14.60
1696905470.79,0.00,32.20,352.59,14.60
1696905472.29,7.90,32.30,352.59,14.60
1696905473.80,0.00,32.40,352.59,14.60
1696905475.30,6.00,32.40,352.59,14.60
1696905476.80,0.00,32.40,352.59,14.60
1696905478.31,30.40,32.40,352.59,14.60
1696905479.81,0.00,32.40,352.59,14.60
1696905481.31,6.00,32.10,352.59,14.60
1696905482.81,2.00,32.20,352.59,14.60
1696905484.31,6.00,32.30,352.59,14.60
1696905485.82,2.00,32.30,352.59,14.60
1696905487.32,4.00,32.40,352.59,14.60
1696905488.82,0.00,32.50,352.59,14.60
1696905490.33,26.50,32.50,352.59,14.60
1696905491.83,0.00,32.50,352.59,14.60
1696905493.33,14.10,32.50,352.59,14.60
1696905494.83,0.00,32.50,352.59,14.60
1696905496.34,4.00,32.10,352.59,14.60
1696905497.84,0.00,32.30,352.59,14.60
1696905499.34,6.10,32.40,352.59,14.60
1696905500.84,0.00,32.40,352.59,14.60
1696905502.35,23.90,32.40,352.59,14.60
1696905503.85,0.00,32.40,352.59,14.60
1696905505.35,6.00,32.40,352.59,14.60
1696905506.86,2.00,32.40,352.59,14.60
1696905508.36,10.20,32.30,352.59,14.60
1696905509.86,0.00,32.40,352.59,14.60
1696905511.36,2.00,32.10,352.59,14.60
1696905512.87,0.00,32.20,352.59,14.60
1696905514.37,28.60,32.30,352.59,14.60
1696905515.87,0.00,32.30,352.59,14.60
1696905517.37,7.90,32.40,352.59,14.60
1696905518.88,0.00,32.20,352.59,14.60
1696905520.38,6.00,32.50,352.59,14.60
1696905521.88,2.00,32.50,352.59,14.60
1696905523.39,13.90,32.40,352.59,14.60
1696905524.89,0.00,32.50,352.59,14.61
1696905526.39,20.70,32.60,352.59,14.61
1696905527.89,4.00,32.60,352.59,14.61
1696905529.40,13.90,32.60,352.59,14.61
1696905530.90,0.00,32.60,352.59,14.61
1696905532.40,7.90,32.20,352.59,14.61
1696905533.91,0.00,32.30,352.59,14.61
1696905535.41,6.00,32.40,352.59,14.61
1696905536.91,0.00,32.40,352.59,14.61
1696905538.41,30.40,32.40,352.59,14.61
1696905539.92,2.00,32.40,352.59,14.61
1696905541.42,6.00,32.50,352.59,14.61
1696905542.92,0.00,32.50,352.59,14.61
1696905544.42,10.00,32.20,352.59,14.61
1696905545.93,0.00,32.30,352.59,14.61
1696905547.43,4.00,32.40,352.59,14.61
1696905548.93,0.00,32.50,352.59,14.61
1696905550.43,24.70,32.30,352.59,14.61
1696905551.94,0.00,32.30,352.59,14.61
1696905553.44,12.20,32.30,352.59,14.61
1696905554.94,0.00,32.40,352.59,14.61
1696905556.45,22.20,32.50,352.59,14.61
1696905557.95,0.00,32.50,352.59,14.61
1696905559.45,12.00,32.30,352.59,14.61
1696905560.95,2.00,32.30,352.59,14.61
1696905562.46,10.00,32.50,352.59,14.61
1696905563.96,0.00,32.60,352.59,14.61
1696905565.46,3.90,32.70,352.59,14.61
1696905566.96,0.00,32.60,352.59,14.61
1696905568.47,32.60,32.70,352.59,14.61
1696905569.97,0.00,32.30,352.59,14.61
1696905571.47,7.90,32.50,352.59,14.61
1696905572.98,0.00,32.50,352.59,14.61
1696905574.48,6.10,32.40,352.59,14.61
1696905575.98,0.00,32.40,352.59,14.61
1696905577.48,8.00,32.60,352.59,14.61
1696905578.99,0.00,32.70,352.59,14.61
1696905580.49,18.70,32.50,352.59,14.61
1696905581.99,2.00,32.50,352.59,14.61
1696905583.49,15.80,32.50,352.59,14.61
1696905585.00,0.00,32.50,352.59,14.61
1696905586.50,7.90,32.30,352.59,14.61
1696905588.00,0.00,32.40,352.59,14.61
1696905589.50,8.00,32.50,352.59,14.61
1696905591.01,0.00,32.50,352.59,14.61
1696905592.51,4.00,32.50,352.59,14.61
1696905594.01,0.00,32.60,352.59,14.61
1696905595.51,4.00,32.60,352.59,14.61
1696905597.02,0.00,32.50,352.59,14.61
1696905598.52,12.00,32.30,352.59,14.61
1696905600.02,0.00,32.40,352.59,14.61
1696905601.52,5.80,32.40,352.59,14.61
1696905603.03,0.00,32.40,352.59,14.61
1696905604.53,4.00,32.40,352.59,14.61
1696905606.03,0.00,32.40,352.59,14.61
1696905607.54,4.00,32.40,352.59,14.61
1696905609.04,0.00,32.40,352.59,14.61
1696905610.54,2.00,32.40,352.59,14.61
1696905612.04,0.00,32.40,352.59,14.61
1696905613.55,11.90,32.40,352.59,14.61
1696905615.05,2.00,32.20,352.59,14.61
1696905616.55,2.00,32.30,352.59,14.61
1696905618.05,0.00,32.30,352.59,14.61
1696905619.56,6.00,32.30,352.59,14.61
1696905621.06,0.00,32.30,352.59,14.61
1696905622.56,4.00,32.30,352.59,14.61
1696905624.06,0.00,32.30,352.59,14.61
1696905625.57,4.00,32.40,352.59,14.61
1696905627.07,0.00,32.50,352.59,14.61
1696905628.57,10.20,32.60,352.59,14.61
1696905630.08,2.00,32.60,352.59,14.61
1696905631.58,4.00,32.60,352.59,14.61
1696905633.08,0.00,32.60,352.59,14.61
1696905634.58,6.10,32.40,352.59,14.61
1696905636.09,0.00,32.50,352.59,14.61
1696905637.59,2.00,32.50,352.59,14.61
1696905639.09,2.00,32.60,352.59,14.61
1696905640.59,7.50,32.50,352.59,14.61
1696905642.10,0.00,32.50,352.59,14.61
1696905643.60,8.10,32.30,352.59,14.61
1696905645.10,0.00,32.30,352.59,14.61
1696905646.61,2.00,32.30,352.59,14.61
1696905648.11,4.00,32.30,352.59,14.61
1696905649.61,8.10,32.30,352.59,14.61
1696905651.11,0.00,32.30,352.59,14.61
1696905652.62,4.00,32.40,352.59,14.61
1696905654.12,0.00,32.40,352.59,14.61
1696905655.62,4.00,32.10,352.59,14.61
1696905657.12,2.00,32.20,352.59,14.61
1696905658.63,4.00,32.40,352.59,14.61
1696905660.13,0.00,32.40,352.59,14.61
1696905661.63,4.00,32.40,352.59,14.61
1696905663.13,6.10,32.40,352.59,14.61
1696905664.64,6.00,32.40,352.59,14.61
1696905666.14,0.00,32.40,352.59,14.61
1696905667.64,2.00,32.30,352.59,14.61
1696905669.14,3.90,32.10,352.59,14.61
1696905670.65,2.00,32.40,352.59,14.61
1696905672.15,0.00,32.40,352.59,14.61
1696905673.65,0.00,32.40,352.59,14.61
1696905675.15,0.00,32.10,352.59,14.61
1696905676.66,2.00,32.20,352.59,14.61
1696905678.16,8.00,32.20,352.59,14.61
1696905679.66,2.00,32.30,352.59,14.61
1696905681.16,0.00,32.30,352.59,14.61
1696905682.67,5.90,32.30,352.59,14.61
1696905684.17,7.90,32.30,352.59,14.61
